model_init_seed,weight_decay,lr,num_epochs,model_code,params,loss,Avg loss
5,0,1.00E-05,500,siren,198915,0.6787239909,0.6885428429
10,0,1.00E-05,500,siren,198915,0.6163975000,
15,0,1.00E-05,500,siren,198915,0.6849675775,
20,0,1.00E-05,500,siren,198915,0.7065670490,
25,0,1.00E-05,500,siren,198915,0.7560580969,
5,0,5.00E-05,500,siren,198915,0.0000125651,0.0000124388
10,0,5.00E-05,500,siren,198915,0.0000121840,
15,0,5.00E-05,500,siren,198915,0.0000120839,
20,0,5.00E-05,500,siren,198915,0.0000125555,
25,0,5.00E-05,500,siren,198915,0.0000128053,
5,0,0.0001,500,siren,198915,0.0000050734,0.0000043986
10,0,0.0001,500,siren,198915,0.0000048222,
15,0,0.0001,500,siren,198915,0.0000043159,
20,0,0.0001,500,siren,198915,0.0000028954,
25,0,0.0001,500,siren,198915,0.0000048861,
5,0,0.0005,500,siren,198915,0.0000085856,0.0000093897
10,0,0.0005,500,siren,198915,0.0000090112,
15,0,0.0005,500,siren,198915,0.0000099009,
20,0,0.0005,500,siren,198915,0.0000081799,
25,0,0.0005,500,siren,198915,0.0000112709,
5,0,0.001,500,siren,198915,0.0000300909,0.0000438075
10,0,0.001,500,siren,198915,0.0000470194,
15,0,0.001,500,siren,198915,0.0000451555,
20,0,0.001,500,siren,198915,0.0000522229,
25,0,0.001,500,siren,198915,0.0000445488,
5,0,0.005,500,siren,198915,0.0000039646,0.0000061466
10,0,0.005,500,siren,198915,0.0000034668,
15,0,0.005,500,siren,198915,0.0000041107,
20,0,0.005,500,siren,198915,0.0000056236,
25,0,0.005,500,siren,198915,0.0000135675,
5,0,0.01,500,siren,198915,0.0019215443,0.0019085826
10,0,0.01,500,siren,198915,0.0018602791,
15,0,0.01,500,siren,198915,0.0017721565,
20,0,0.01,500,siren,198915,0.0018584253,
25,0,0.01,500,siren,198915,0.0021305080,
5,0,0.05,500,siren,198915,0.0000122028,0.0000122022
10,0,0.05,500,siren,198915,0.0000122022,
15,0,0.05,500,siren,198915,0.0000122000,
20,0,0.05,500,siren,198915,0.0000122038,
25,0,0.05,500,siren,198915,0.0000122022,
5,0,0.1,500,siren,198915,0.0000122120,0.0000122138
10,0,0.1,500,siren,198915,0.0000122153,
15,0,0.1,500,siren,198915,0.0000122120,
20,0,0.1,500,siren,198915,0.0000122156,
25,0,0.1,500,siren,198915,0.0000122139,
5,0,0.5,500,siren,198915,0.0000122296,0.0000122317
10,0,0.5,500,siren,198915,0.0000122298,
15,0,0.5,500,siren,198915,0.0000122316,
20,0,0.5,500,siren,198915,0.0000122335,
25,0,0.5,500,siren,198915,0.0000122341,
