model_init_seed,weight_decay,lr,num_epochs,model_code,params,loss
25.0,0.0,0.0001,500.0,siren,1539,1.9634088277816772
25.0,0.0,0.0005,500.0,siren,1539,0.09845606237649918
25.0,0.0,0.001,500.0,siren,1539,5.421332753030583e-05
25.0,0.0,0.005,500.0,siren,1539,7.610826742165955e-06
25.0,0.0,0.01,500.0,siren,1539,1.2358938874967862e-05
25.0,0.0,0.05,500.0,siren,1539,4.386657110444503e-06
25.0,0.0,0.1,500.0,siren,1539,5.6272260735568125e-06
25.0,0.0,0.5,500.0,siren,1539,1.2113032425986603e-05
25.0,0.0,1e-05,500.0,siren,1539,5.077981948852539
25.0,0.0,5e-05,500.0,siren,1539,3.386406660079956
